1053237.3		Bacillus cereus	environmental	soil	
1053238.3		Bacillus cereus	environmental	soil	
1053239.3		Bacillus cereus	environmental	soil	
1053240.3		Bacillus cereus	environmental	soil	
1053241.3		Bacillus cereus	environmental	soil	
1053242.3		Bacillus cereus	environmental	soil	
1053243.3		Bacillus cereus	environmental	soil	
1053244.3		Bacillus cereus	environmental	soil	
1053245.3		Bacillus cereus	environmental	soil	
1053246.3		Bacillus cereus	environmental	soil	
1053247.3		Bacillus cereus	environmental	soil	
1053248.3		Bacillus cereus	environmental	soil	
1053250.3		Bacillus cereus	environmental	soil	
1054948.3	SRR955137	Salmonella enterica	environmental	
1054949.3	SRR955115	Salmonella enterica	environmental	
1054955.3	SRR955134	Salmonella enterica	environmental	
1054956.3	SRR955135	Salmonella enterica	environmental	
1054957.4	SRR652932	Salmonella enterica	food production	meat product	chicken	
1054958.4	SRR519470,SRR652925	Salmonella enterica	food production	meat product	turkey	
1054959.4	SRR519756,SRR652926	Salmonella enterica	food production	meat product	chicken	
1054960.4	SRR652941	Salmonella enterica	food production	meat product	chicken	
1054961.3	SRR955136	Salmonella enterica	environmental	
1054962.3	SRR955114	Salmonella enterica	environmental	
1054963.4	SRR652940	Salmonella enterica	food production	meat product	chicken	
1054964.3	SRR955138	Salmonella enterica	environmental	
1054965.4	SRR652942	Salmonella enterica	food production	meat product	chicken	
1054966.4	SRR652944	Salmonella enterica	food production	meat product	chicken	
106654.157		Acinetobacter nosocomialis	environmental	
106654.158		Acinetobacter nosocomialis	environmental	
106654.159		Acinetobacter nosocomialis	environmental	
106654.59		Acinetobacter nosocomialis	environmental	plant matter	wood	
106654.60		Acinetobacter nosocomialis	industrial	metal or plastic	metal or plastic	
106654.61		Acinetobacter nosocomialis	industrial	metal	metal	
106654.62		Acinetobacter nosocomialis	industrial	metal	metal	
106654.63		Acinetobacter nosocomialis	environmental	plant matter	wood	
106654.64		Acinetobacter nosocomialis	industrial	metal or plastic	metal or plastic	
106654.65		Acinetobacter nosocomialis	industrial	metal	metal	
106654.66		Acinetobacter nosocomialis	industrial	metal or plastic	metal or plastic	
106654.70		Acinetobacter nosocomialis	industrial	metal or plastic	metal or plastic	
106654.72		Acinetobacter nosocomialis	industrial	metal	metal	
106654.74		Acinetobacter nosocomialis	industrial	metal	metal	
106654.75		Acinetobacter nosocomialis	industrial	metal or plastic	metal or plastic	
106654.76		Acinetobacter nosocomialis	environmental	plant matter	wood	
106654.77		Acinetobacter nosocomialis	environmental	plant matter	wood	
106654.78		Acinetobacter nosocomialis	industrial	metal	metal	
106654.79		Acinetobacter nosocomialis	industrial	metal	metal	
106654.80		Acinetobacter nosocomialis	environmental	plant matter	wood	
106654.81		Acinetobacter nosocomialis	industrial	metal	metal	
106654.82		Acinetobacter nosocomialis	industrial	metal	metal	
106654.83		Acinetobacter nosocomialis	industrial	metal	metal	
106654.84		Acinetobacter nosocomialis	industrial	metal	metal	
106654.85		Acinetobacter nosocomialis	industrial	metal	metal	
106654.86		Acinetobacter nosocomialis	environmental	plant matter	wood	
106654.87		Acinetobacter nosocomialis	industrial	metal	metal	
106654.88		Acinetobacter nosocomialis	industrial	metal or plastic	metal or plastic	
106654.89		Acinetobacter nosocomialis	industrial	metal or plastic	metal or plastic	
106654.90		Acinetobacter nosocomialis	industrial	metal	metal	
106654.91		Acinetobacter nosocomialis	environmental	plant matter	wood	
106654.92		Acinetobacter nosocomialis	industrial	metal	metal	
106654.93		Acinetobacter nosocomialis	industrial	metal	metal	
106654.94		Acinetobacter nosocomialis	industrial	metal	metal	
106654.95		Acinetobacter nosocomialis	industrial	metal	metal	
1072596.3		Salmonella enterica	environmental	
1072597.3	SRR3185133	Salmonella enterica	environmental	
1072598.3	SRR3185132	Salmonella enterica	environmental	
1072599.3		Salmonella enterica	environmental	
1072600.3		Salmonella enterica	environmental	
1072601.3		Salmonella enterica	environmental	
1072602.3	SRR3185131	Salmonella enterica	environmental	
1079468.3		Salmonella enterica	food production	plant product	peanut butter	
1079901.3	SRR3665082	Salmonella enterica	food production	meat product	pork	
1079901.4		Salmonella enterica	food production	meat product	pork	
1085379.3		Bacillus cereus	environmental	soil	
1085386.3		Bacillus cereus	environmental	soil	
1085388.3		Bacillus cereus	environmental	soil	
1085389.3		Bacillus cereus	environmental	soil	
108619.104		Salmonella enterica	environmental	soil	
108619.106		Salmonella enterica	environmental	water	
108619.107		Salmonella enterica	environmental	water	
108619.108		Salmonella enterica	environmental	water	
108619.110		Salmonella enterica	environmental	soil	
108619.111		Salmonella enterica	environmental	soil	
108619.114		Salmonella enterica	environmental	water	
108619.115		Salmonella enterica	environmental	water	
108619.116		Salmonella enterica	environmental	water	
108619.117		Salmonella enterica	environmental	soil	
108619.118		Salmonella enterica	environmental	soil	
108619.123		Salmonella enterica	environmental	
108619.124		Salmonella enterica	environmental	water	freshwater	freshwater pond or lake	
108619.125		Salmonella enterica	environmental	water	freshwater	freshwater pond or lake	
108619.126		Salmonella enterica	environmental	water	freshwater	freshwater pond or lake	
108619.127		Salmonella enterica	environmental	water	freshwater	freshwater pond or lake	
108619.128		Salmonella enterica	environmental	
108619.129		Salmonella enterica	environmental	
108619.130		Salmonella enterica	environmental	
108619.17	SRR2567031	Salmonella enterica	food production	meat product	chicken	
